nome,territorio,intencao_sonora,por_que_entra_na_rodada,risco_inicial
Aviva,Vida em movimento,aberto luminoso e humano,Curto internacional e com energia de vida sem parecer técnico; funciona para profissionais e público geral,provável uso prévio elevado
Aflora,Desabrochar e cuidado,brasileiro suave e positivo,Evoca melhora crescimento e cuidado integral com beleza oral imediata,uso prévio provável em wellness
Soma,Integralidade corpo e união,curto forte e universal,Remete ao corpo e ao conjunto; cabe em saúde integrativa IA e marketplace,uso prévio alto
Savia,Sabedoria e vida,macio inteligente e feminino,Une sabedoria com vida sem explicitar IA; soa profissional e acolhedor,precisa checagem
Sabiá,Brasilidade inteligente,memorável musical e popular,Nome brasileiro bonito fácil de falar e associado a canto leveza e inteligência,acento e muitos usos culturais
Zelo,Cuidado responsável,simples quente e confiável,Palavra compreensível por dona Maria e respeitável para médicos; comunica cuidado com responsabilidade,uso comum e baixa distintividade isolada
Zelos,Cuidado elevado,curto clássico e institucional,Eleva o sentido de zelo sem ser literal demais; mais registrável que Zelo,possível associação religiosa/mitológica
Nexo,Conexão e inteligência,preciso profissional e simples,Expressa conexão entre médico paciente produto e IA; forte para plataforma,uso prévio alto
Una,União e plataforma,curto feminino e inclusivo,Comunica integrar profissionais produtos dados e pessoas em uma só experiência,uso prévio alto
Unna,União proprietária,curto macio e memorável,Variação mais própria de Una com som simples e premium,precisa checagem
Viva,Vitalidade popular,aberto fácil e universal,Entendido por todos e muito positivo para saúde e bem-estar,genérico e uso alto
Vivá,Vitalidade com assinatura,aberto brasileiro e marcante,Acento cria marca mais sonora e alegre sem perder simplicidade,acento pode limitar digital
Vivera,Vida continuada,fluido caloroso e elegante,Parece plataforma de vida e saúde sem ser médica demais; fácil para fala cotidiana,uso prévio provável
Viora,Vida e orientação,macio e premium,Soa bonito mas já foi problemático na rodada anterior; mantido apenas como controle,rejeitar se conflito confirmado
Orbe,Círculo e ecossistema,curto redondo e sofisticado,Comunica mundo/ecossistema de saúde em torno da pessoa,mais abstrato para público popular
Orbia,Ecossistema humano,redondo e feminino,Mais acolhedor que Orbe; sugere plataforma ampla e mundo de cuidado,possível uso em marcas globais
Clara,Transparência e entendimento,limpo familiar e confiável,Promessa de clareza em saúde e IA; ótimo para confiança popular,uso muito alto como nome próprio e marcas
Claria,Clareza proprietária,claro suave e técnico-humano,Mais marcável que Clara; comunica orientação e compreensão,precisa checagem
Lumina,Luz e clareza,belo luminoso e clássico,Evoca orientação e inteligência sem frieza tecnológica,uso alto
Lume,Luz próxima,curto quente e brasileiro,Palavra bonita e simples; soa como guia e cuidado,uso prévio provável
Lúmia,Luz humana,macio premium e memorável,Mais distintivo que Lume; sugere clareza e tecnologia gentil,precisa checagem
Aurora,Recomeço e esperança,clássico belo e universal,Nome emocionalmente forte para saúde preventiva e transformação,uso prévio muito alto
Alma,Humanidade e essência,profundo simples e popular,Abraça profissionais e usuários por uma dimensão humana e calorosa,uso alto e possível espiritualidade
AlmaViva,Humanidade vital,caloroso brasileiro e amplo,Combina acolhimento e vida de modo popular e bonito,pode soar longo
Amparo,Proteção e confiança,forte brasileiro e acolhedor,Palavra de segurança popular e profissional; excelente para saúde e cuidado,genérico mas forte
Ampara,Proteção ativa,verbo macio e humano,Parece ação de cuidar e apoiar; fácil de explicar e lembrar,uso prévio provável
Acolhe,Acolhimento,verbo simples e humano,Comunica inclusão da dona Maria ao médico; plataforma que acolhe,descritivo e comum
