name,territory,rationale,preliminary_risk
Lumora,Luz e bioluminescência,Lumen + aurora; sugere clareza vital e tecnologia luminosa.,Pode existir em marcas de iluminação ou tecnologia.
Auralis,Luz e bioluminescência,Aura + sufixo premium; comunica campo energético sofisticado.,Risco de associação com áudio ou estética.
Elunai,Luz e bioluminescência,Elo removido + luna + inteligência; sonoridade futurista e suave.,Neologismo exige construção narrativa.
Luvora,Luz e bioluminescência,Luz + aurora; nome quente e memorável.,Pode soar próximo de marcas de beleza.
Orialis,Luz e bioluminescência,Oriens/origem + aura; sugere orientação e início de jornada.,Pronúncia pode variar entre Oriális e Oríalis.
Halora,Luz e bioluminescência,Halo + aurora; transmite proteção e brilho inteligente.,Halo pode ser muito religioso se mal usado.
Luxara,Luz e bioluminescência,Lux + rara; sensação premium e luminosa.,Lux pode remeter a marcas de cosmético.
Nuvora,Luz e bioluminescência,Nuvem + aurora; saúde digital com suavidade.,Nuvem pode soar cloud/tech se literalizada.
Alvora,Luz e bioluminescência,Alvorada + aura; nascimento de uma nova saúde.,Pode parecer palavra portuguesa alterada.
Soluna,Luz e bioluminescência,Sol + luna; equilíbrio entre energia e serenidade.,Muito usado em wellness; risco de baixa diferenciação.
Auvia,Luz e bioluminescência,Aura + via; caminho luminoso de cuidado.,Pode soar semelhante a marcas existentes de tecnologia.
Lunara,Luz e bioluminescência,Lunar + aura; elegante e sensorial.,Pode aproximar-se de cosméticos/astrologia.
Viora,Vitalidade integrativa,Vida + ora; nome curto, humano e expansível.,Risco de colisão com marcas de estética/saúde.
Vitora,Vitalidade integrativa,Vital + vitória; saúde como progresso e conquista.,Pode ser confundido com Vitória.
Somae,Vitalidade integrativa,Soma + ae; corpo como sistema integrado.,Soma é termo já muito usado em saúde e psicologia.
Virena,Vitalidade integrativa,Viriditas/verde + energia; vitalidade regenerativa.,Pode soar farmacêutico se visual for muito clínico.
Pravya,Vitalidade integrativa,Prana + via; energia vital guiada por tecnologia.,Pode ter leitura espiritual se narrativa exagerar.
Eliva,Vitalidade integrativa,Energia + life + vida; nome suave e positivo.,Risco de nomes similares em suplementos.
Vivora,Vitalidade integrativa,Viver + aurora; vida renovada e cuidado contínuo.,Pode soar próximo de Vivo/Vivara.
Valia,Vitalidade integrativa,Valor + vitalidade; curto, humano e premium.,Palavra comum em português; risco de baixa defesa.
Anuva,Vitalidade integrativa,Novo + vida; sensação de renovação.,Pode parecer genérico se não receber identidade forte.
Veliva,Vitalidade integrativa,Vitalidade + leveza; fluido e feminino.,Pode ser associado a cosmético.
Sovira,Vitalidade integrativa,Soma + virada; sugere transformação de saúde.,Neologismo abstrato; exige explicação inicial.
Euvia,Vitalidade integrativa,Eu + via; jornada pessoal de saúde.,Pode soar demasiado individualista.
Nexora,Inteligência invisível,Nexus + aurora; orquestra rede, dados e cuidado.,Nexus é comum em tecnologia; exige checagem.
Synora,Inteligência invisível,Synapse + ora; inteligência coordenada e humana.,Pode lembrar marcas de software/dados.
